GENE	CHR	START	END
5195	1	10525003	10700815
54897	1	10686661	10866733
148345	1	10996530	11052094
23435	1	11062462	11095549
10747	1	11076580	11117296
6723	1	11104649	11130091
5394	1	11116675	11169961
2475	1	11156588	11332614
10218	1	11239346	11266038
29914	1	11323255	11358491
57540	1	11529295	11607640
26232	1	11697924	11724888
93611	1	11704432	11733384
26270	1	11714150	11744411
10459	1	11724537	11761678
374946	1	11741781	11790336
57085	1	11786142	11820828
284498	1	11813827	11859642
4524	1	11835787	11876160
1185	1	11856153	11913201
4878	1	11895766	11917840
4879	1	11907521	11928992
90231	1	11969645	11996485
5351	1	11984724	12045599
9927	1	12030238	12083572
60672	1	12069299	12102106
943	1	12113434	12214264
7133	1	12217044	12279279
55187	1	12280101	12582099
9249	1	12617939	12687820
343066	1	12694566	12737097
126767	1	12766118	12798726
93190	1	12796163	12831102
390999	1	12824984	12848049
65121	1	12841546	12866777
440560	1	12874468	12901264
343069	1	12897261	12918578
65122	1	12906941	12931764
400735	1	12929033	12956025
343071	1	12942727	12968094
441871	1	12966467	12990300
440561	1	12988302	13017406
653606	1	13025543	13048381
441873	1	13130447	13155000
440563	1	13172960	13194326
645359	1	13206688	13229898
343068	1	13349819	13379057
391002	1	13376646	13400765
645382	1	13401517	13424502
343070	1	13411176	13438191
400736	1	13437414	13462656
391003	1	13464053	13487569
654348	1	13485254	13508260
653619	1	13631973	13658987
729528	1	13658269	13683511
645414	1	13684889	13708405
391004	1	13706088	13729064
645425	1	13726907	13757803
126755	1	13791445	13850242
10630	1	13900252	13954452
7799	1	14016714	14161574
23254	1	14209646	15454544
55092	1	15469028	15556974
727684	1	15480692	15508120
114827	1	15563730	15734767
79180	1	15726391	15766839
11330	1	15754938	15783153
63036	1	15773223	15808586
51032	1	15792596	15827895
842	1	15807896	15861407
23341	1	15843343	15908228
79814	1	15888194	15921605
84301	1	15933953	16005539
6248	1	15976364	15998217
23207	1	16000632	16071264
284723	1	16052721	16077884
388595	1	16058987	16084292
54751	1	16073107	16123089
440567	1	16123657	16144194
23013	1	16164359	16276951
7709	1	16258364	16312627
101928566	1	16292626	16333701
149563	1	16320731	16343184
27129	1	16330523	16356084
1187	1	16338486	16370548
1188	1	16360231	16393821
348487	1	16374264	16410127
1969	1	16440832	16492582
128272	1	16514599	16549104
101927546	1	16541343	16563528
79363	1	16548182	16573659
54455	1	16563339	16688965
26099	1	16683525	16734643
374955	1	16712101	16773919
55707	1	16757167	16796585
100133301	1	16855561	16876198
55672	1	16878922	16950100
729574	1	16989498	17010007
729587	1	17050447	17070956
11223	1	17071129	17100975
9696	1	17238445	17309474
4237	1	17290997	17318081
23400	1	17302453	17348467
6390	1	17335217	17390665
11240	1	17383256	17455948
29943	1	17521621	17582501
51702	1	17565593	17620728
23569	1	17624690	17700495
353238	1	17688741	17738195
55920	1	17723251	17776250
55160	1	17836693	18034370
81569	1	18071808	18163558
84966	1	18424240	18714977
127707	1	18797424	18822540
5081	1	18947500	19085360
80834	1	19156093	19196155
8659	1	19187924	19239293
126917	1	19220774	19292826
23352	1	19391000	19546812
23065	1	19532158	19588053
51154	1	19568075	19596622
22977	1	19599057	19625280
8574	1	19619202	19648640
54896	1	19628740	19668925
832	1	19655267	19822066
440574	1	19913471	19966315
100532736	1	19913471	19994949
4681	1	19959723	19994949
3362	1	19981780	20016055
255104	1	19998706	20136424
54546	1	20130522	20151771
23252	1	20198356	20249438
30814	1	20236800	20260110
5320	1	20291924	20316932
5322	1	20376157	20428394
26279	1	20429143	20456059
64600	1	20455823	20486879
391013	1	20480484	20511687
127733	1	20502578	20532540
127731	1	20607412	20691662
55450	1	20798884	20822728
79594	1	20815941	20844674
163933	1	20868932	20891513
978	1	20905444	20955401
65018	1	20949948	20988004
1650	1	20968260	20998037
57576	1	20980475	21054317
400745	1	21036225	21069133
50809	1	21059170	21123808
8672	1	21122785	21513381
1889	1	21533740	21682034
84224	1	21756583	21821393
249	1	21825475	21914905
5909	1	21912708	22006010
84196	1	21994791	22119688
401944	1	22128758	22161714
3339	1	22138737	22273750
23436	1	22293418	22325847
10136	1	22318149	22349035
998	1	22369120	22429439
54361	1	22433798	22480474
9923	1	22768344	22867650
2046	1	22880004	22940087
712	1	22953118	22976175
714	1	22959969	22984603
713	1	22969682	22998130
2048	1	23027263	23251823
646262	1	23269536	23309524
729059	1	23327327	23352343
23028	1	23335937	23420184
7798	1	23400516	23514301
3352	1	23508388	23531222
10236	1	23625953	23681143
80818	1	23675941	23706357
6920	1	23697555	23761269
55616	1	23745056	23820750
1870	1	23822920	23867712
3399	1	23874421	23896285
6135	1	24008269	24032915
6924	1	24059856	24098549
57095	1	24094876	24124722
11313	1	24107275	24132029
2582	1	24112089	24137294
3155	1	24118367	24175110
2517	1	24161567	24204859
1269	1	24187005	24295549
55629	1	24276301	24299952
10772	1	24282935	24316953
127294	1	24372531	24448665
58985	1	24436261	24479783
163702	1	24470647	24523765
57822	1	24635812	24700972
90529	1	24673489	24751587
57185	1	24732245	24809473
11123	1	24818841	24873510
400746	1	24872567	24945819
10250	1	24959594	25009772
25932	1	25061760	25180815
864	1	25216002	25301648
25949	1	25538767	25569013
57035	1	25558740	25584010
6007	1	25588884	25666936
23585	1	25654789	25698852
6006	1	25677853	25757363
55219	1	25747388	25836700
26119	1	25860071	25905377
57134	1	25933959	26121258
57190	1	26116667	26154713
56181	1	26136397	26169433
79000	1	26148414	26195939
164091	1	26177975	26212461
3925	1	26200670	26243368
5051	1	26276258	26336366
2134	1	26338266	26372955
7780	1	26354513	26383439
84676	1	26367792	26404142
149420	1	26427656	26462039
79927	1	26475511	26499119
51042	1	26486388	26507364
10256	1	26493981	26526375
378807	1	26507119	26539033
64793	1	26550644	26615529
83442	1	26596213	26618013
91544	1	26598773	26654756
1043	1	26634411	26657014
55057	1	26638350	26690621
257101	1	26678125	26711023
79727	1	26727269	26766219
79947	1	26748773	26807797
3151	1	26788902	26813133
6195	1	26846249	26911520
101928728	1	27008623	27032896
8289	1	27012522	27118601
55650	1	27103739	27134894
84243	1	27143201	27194092
2810	1	27179633	27200947
54707	1	27195872	27226869
63906	1	27206979	27236962
8431	1	27227975	27250567
10726	1	27238187	27283362
126695	1	27266047	27296901
388610	1	27310189	27337377
115572	1	27321511	27349333
6548	1	27415300	27491621
23038	1	27551007	27645124
84065	1	27638636	27672891
84958	1	27658483	27690423
9064	1	27671670	27703558
8547	1	27685601	27711315
388611	1	27695596	27719823
2827	1	27709148	27732318
10163	1	27720734	27826678
27245	1	27850756	27940463
2268	1	27928800	27971727
2537	1	27982572	28008724
199870	1	28042490	28099426
23673	1	28089694	28160963
5511	1	28147252	28188183
9473	1	28189055	28223196
6118	1	28208035	28251255
27293	1	28251456	28295663
55113	1	28276504	28304604
2140	1	28286855	28425173
5724	1	28463677	28530447
22826	1	28516789	28569542
93974	1	28552602	28574616
83667	1	28575963	28619002
54797	1	28645513	28672478
65979	1	28686093	28836881
1104	1	28822455	28875708
54952	1	28869529	28915057
115273	1	28908712	28931098
6883	1	28919608	28985416
10691	1	28985234	29052115
51441	1	29053133	29106287
4985	1	29128654	29200208
2035	1	29203603	29456558
399474	1	29435937	29460421
6429	1	29464250	29518637
51102	1	29509385	29567460
10076	1	29553028	29663325
4146	1	31174124	31206432
7805	1	31195315	31240683
9672	1	31332313	31391480
9698	1	31394353	31548838
79570	1	31642592	31722734
9410	1	31722415	31779644
51538	1	31759832	31848569
2170	1	31828100	31855923
347735	1	31872412	31917527
64129	1	32032086	32063290
3061	1	32073290	32103214
553115	1	32085463	32120838
1307	1	32107848	32179768
576	1	32182718	32240494
90853	1	32246023	32291630
8073	1	32362022	32413988
10657	1	32469295	32536460
55116	1	32528503	32578467
23633	1	32563644	32652169
200081	1	32635293	32673886
79140	1	32656202	32680991
55721	1	32661236	32684288
149069	1	32664695	32691797
56063	1	32670040	32697954
8668	1	32677971	32707205
84734	1	32702818	32724461
3932	1	32706840	32761766
3065	1	32747708	32809227
65108	1	32789430	32811840
81629	1	32808365	32840098
100128071	1	32816871	32837844
55108	1	32820704	32870062
728116	1	32920658	32963460
653121	1	32994772	33081542
339487	1	33076421	33126565
5928	1	33106749	33161812
81493	1	33135507	33178361
57648	1	33197492	33250571
8565	1	33230840	33293633
64766	1	33272368	33334480
252995	1	33317869	33348093
3208	1	33341688	33370247
113452	1	33350196	33377041
127544	1	33392050	33440467
204	1	33463541	33512512
113451	1	33536711	33596132
55223	1	33601000	33657671
149076	1	33711908	33776321
127550	1	33762367	33796699
1912	1	33779224	33851194
7579	1	33928232	33972105
114784	1	33969609	34641443
127540	1	34316076	34340392
84970	1	34622624	34694732
2709	1	35210648	35234113
127534	1	35215342	35239325
2707	1	35236790	35261967
2701	1	35248559	35271351
113444	1	35305963	35335417
58512	1	35321037	35401083
100506144	1	35437127	35460948
9204	1	35441766	35507569
79830	1	35515387	35591460
6421	1	35631981	35668766
9202	1	35724444	35897545
79932	1	35889091	36033037
23154	1	36013311	36042380
339488	1	36028971	36070929
5690	1	36030259	36117445
127703	1	36169477	36194790
63967	1	36175819	36245568
192670	1	36263231	36333491
26523	1	36325412	36405211
192669	1	36386364	36532360
27285	1	36539676	36563877
54936	1	36544453	36569533
1296	1	36550840	36601305
27095	1	36592170	36631654
55700	1	36611751	36656450
9967	1	36680017	36780958
79729	1	36761889	36803544
55194	1	36777631	36800567
83931	1	36795225	36861525
84967	1	36849031	36873493
127700	1	36873507	36926086
64960	1	36911362	36940040
1441	1	36921644	36958915
2899	1	37251128	37509844
80149	1	37930119	37959978
64769	1	37945561	37990420
79753	1	37990050	38029945
7802	1	38012520	38042458
29889	1	38022413	38071586
284654	1	38066821	38110595
54955	1	38137242	38168007
55143	1	38148073	38185391
284656	1	38171646	38240824
149175	1	38249721	38277278
79693	1	38258614	38283865
127687	1	38263473	38285126
4520	1	38265239	38335292
3633	1	38316369	38422729
10946	1	38412647	38466019
2275	1	38452439	38481199
51118	1	38468384	38500497
5453	1	38499523	38522450
64121	1	39293869	39335495
26292	1	39318162	39349050
81025	1	39329739	39357298
54933	1	39340614	39417456
79647	1	39446916	39481737
4725	1	39481967	39510308
23499	1	39539839	39962810
643314	1	39865176	39892154
353500	1	39947318	40005541
8761	1	40016485	40052522
26508	1	40079103	40115348
84618	1	40114793	40147710
51440	1	40134320	40167382
10450	1	40194517	40239586
656	1	40213903	40264533
64064	1	40225197	40247020
101929536	1	40244654	40265843
54802	1	40296703	40359177
4610	1	40351096	40377687
84879	1	40410784	40445630
10487	1	40495912	40548321
5538	1	40528382	40573142
6018	1	40617041	40716593
127391	1	40703573	40727365
10269	1	40713722	40769856
1298	1	40756162	40792939
64744	1	40829378	40898998
65243	1	40905774	40939390
339559	1	40933043	40972015
64789	1	40964391	40992228
127396	1	40987233	41023841
9783	1	41076352	41141324
4802	1	41147242	41247275
9132	1	41239684	41316124
163732	1	41316728	41338018
1503	1	41435007	41488237
200172	1	41471269	41499116
22955	1	41482871	41717815
100132074	1	41817328	41859263
1907	1	41934446	41960348
59269	1	41962036	42511596
2981	1	42609092	42631495
2980	1	42618362	42640395
22887	1	42632210	42811548
284716	1	42836468	42899900
84217	1	42886000	42931938
79717	1	42911968	42949088
728621	1	42990560	43130335
10465	1	43113706	43152429
4904	1	43138060	43178024
149461	1	43188764	43215925
64175	1	43202006	43242755
79078	1	43222916	43251413
100129924	1	43243661	43274227
374969	1	43262723	43293059
114625	1	43272776	43320660
51058	1	43302244	43328148
6513	1	43381046	43434847
440585	1	43600800	43632067
10969	1	43619845	43648241
149465	1	43628001	43730029
128218	1	43725665	43749673
149466	1	43737554	43761334
7075	1	43756566	43798781
4352	1	43793475	43830135
991	1	43814626	43838874
64834	1	43819068	43843745
112950	1	43839579	43865483
23334	1	43845556	43929918
81888	1	43906674	43929938
5792	1	43981708	44099343
9682	1	44105797	44181189
6487	1	44163204	44406837
9048	1	44388992	44412912
9670	1	44402478	44443694
1802	1	44425653	44449043
533	1	44430118	44453972
8704	1	44434874	44466843
149473	1	44447280	44472200
6536	1	44452155	44507171
128209	1	44503987	44610812
55929	1	44669104	44696351
79033	1	44676742	44831315
55182	1	44860837	45127396
79639	1	45108920	45150253
339541	1	45130370	45201263
11004	1	45195396	45243439
6202	1	45231213	45254427
266675	1	45237831	45263648
1263	1	45255638	45281667
343521	1	45261580	45283378
149478	1	45263373	45289801
8643	1	45275516	45319226
8891	1	45306194	45462394
79654	1	45458220	45487027
7389	1	45467805	45491341
57643	1	45472071	45682250
84842	1	45782545	45804347
4595	1	45784914	45816142
114034	1	45795342	45819650
10420	1	45799555	45966840
25974	1	45955856	45986739
5052	1	45966707	45998562
10327	1	46006455	46045723
4678	1	46039660	46094578
149483	1	46075716	46100424
60313	1	46082976	46163782
51249	1	46143847	46170110
3652	1	46149996	46226485
23139	1	46259269	46511796
8503	1	46495812	46652167
10103	1	46630749	46661634
55624	1	46644353	46695977
541468	1	46659006	46696928
8438	1	46703367	46754145
10489	1	46734072	46779038
7388	1	46759324	46792448
387338	1	46795849	46840824
2166	1	46849939	46889520
127343	1	46962668	46989898
148930	1	47001316	47026887
8569	1	47013079	47079966
148932	1	47063387	47092563
64756	1	47090711	47144099
374973	1	47127497	47149266
9813	1	47130831	47194792
1580	1	47254670	47295021
1579	1	47384846	47417156
260293	1	47417036	47526423
199974	1	47523160	47593992
284541	1	47593107	47624528
10158	1	47639261	47665771
6886	1	47671962	47707938
6491	1	47705811	47789819
51727	1	47789469	47854511
2301	1	47871744	47893724
2306	1	47891689	47916363
388630	1	48216200	48473009
200010	1	48678339	48724316
54558	1	48751044	48947876
84871	1	48988527	50499626
79656	1	49183538	49252547
1996	1	50503686	50679442
63950	1	50873223	50899119
11124	1	50896935	51435936
1031	1	51424367	51450309
284546	1	51432129	51623754
26994	1	51691945	51749119
22996	1	51742930	51820785
2060	1	51809935	51995026
114883	1	52072546	52264891
4898	1	52244864	52354609
5865	1	52363628	52466436
51060	1	52475803	52531843
112970	1	52487777	52509472
91408	1	52511857	52566388
9372	1	52597678	52822358
200014	1	52806265	52841877
4998	1	52828501	52880143
84950	1	52860219	52893992
23318	1	52878947	53028764
2882	1	53058043	53084723
348378	1	53088961	53143252
65260	1	53142014	53174038
79699	1	53182126	53303014
440590	1	53298183	53370247
55268	1	53351582	53402846
6342	1	53382901	53527289
127435	1	53517724	53561174
6512	1	53542855	53618304
1376	1	53652101	53689869
54987	1	53669771	53696289
4116	1	53682564	53714282
7804	1	53698036	53803821
63948	1	53915072	53943158
148979	1	53961904	54213748
55706	1	54221133	54314225
54432	1	54307392	54365487
1733	1	54349860	54386763
51668	1	54377234	54421975
115353	1	54401999	54443841
388633	1	54462971	54493859
9528	1	54487346	54529135
127428	1	54509274	54575416
200008	1	54594668	54628679
606495	1	54628009	54675746
51253	1	54655840	54701407
23648	1	54681104	54882068
26027	1	54997930	55110417
338094	1	55064850	55099200
374977	1	55097427	55185939
7268	1	55171495	55218330
25973	1	55212571	55240226
55001	1	55236752	55276941
163747	1	55261736	55317937
1718	1	55305300	55362921
199964	1	55436271	55467966
7809	1	55454617	55484465
255738	1	55495149	55540526
23358	1	55522032	55691039
8613	1	56950419	57055257
5563	1	57100990	57191008
199920	1	57174477	57295369
731	1	57310443	57393894
732	1	57384883	57443213
1600	1	57450453	58726211
115209	1	58871052	59022469
4070	1	59031095	59053166
114803	1	59110411	59175747
3725	1	59236463	59259785
55277	1	59752625	60238402
51361	1	60270458	60352050
1573	1	60348980	60402445
127795	1	60446066	60549442
4774	1	61532946	61938460
83941	1	62136718	62201095
10207	1	62198149	62639592
54596	1	62650474	62688000
163782	1	62691837	62795083
7398	1	62891975	62927475
85440	1	62910397	63164039
27329	1	63053158	63081976
84938	1	63239777	63340941
27022	1	63778730	63800797
29929	1	63823261	63914233
23421	1	63896441	63998944
84455	1	63979013	64061041
5236	1	64048947	64135916
4919	1	64229690	64657181
148581	1	64659135	64742969
57685	1	64926476	65168741
55225	1	65200778	65308915
3716	1	65288906	65442593
205	1	65603232	65707828
9829	1	65710133	65891552
54741	1	65876131	66117242
3953	1	65876335	66113176
5142	1	66248193	66850262
84251	1	66989066	67220768
200132	1	67207978	67254730
10022	1	67253424	67276942
79819	1	67268568	67400907
57708	1	67380578	67464302
23169	1	67455015	67530080
400757	1	67547859	67610654
149233	1	67594590	67735662
3595	1	67763047	67872583
26135	1	67863493	67906123
1647	1	68140860	68164021
55970	1	68157149	68309436
9077	1	68501645	68527314
79971	1	68554142	68708284
6121	1	68884507	68925642
55635	1	68929835	68972799
57554	1	70023230	70599171
55631	1	70600485	70681361
9295	1	70661365	70727703
81573	1	70714685	70830471
11147	1	70810493	70843706
1491	1	70866901	70915534
5733	1	71308036	71523497
9406	1	71518974	71556972
257194	1	71858625	72758533
127255	1	74481699	74673871
8790	1	74653896	74684533
100526835	1	74653896	75020116
51086	1	74691071	75020116
127254	1	75023795	75149422
1429	1	75161170	75209092
127253	1	75188836	75242361
431707	1	75584119	75637218
204962	1	75657816	76091698
34	1	76180043	76239355
5876	1	76241879	76270775
4438	1	76252556	76389581
127247	1	76374558	76408116
256435	1	76530389	77110311
81849	1	77323126	77543223
10026	1	77544666	77695132
26289	1	77737662	78035654
26009	1	78018160	78159119
23032	1	78151672	78235564
374986	1	78235309	78355225
91624	1	78344200	78422009
8880	1	78399740	78454839
11080	1	78434847	78493648
54810	1	78500646	78614129
5737	1	78946728	79016386
10964	1	79076067	79121830
10561	1	79105477	79139763
64123	1	79345449	79482495
23266	1	82256082	82468107
79739	1	84325057	84474850
5567	1	84533745	84714181
148418	1	84754049	84826481
58511	1	84854215	84890691
80135	1	84934920	84974033
2787	1	84954006	84982262
100505741	1	84961902	85032150
1486	1	85008804	85058039
117178	1	85099390	85166440
23566	1	85269086	85368896
255231	1	85381266	85472796
55283	1	85473765	85524585
126820	1	85517993	85608821
84144	1	85613356	85677292
148423	1	85705636	85735355
8915	1	85721459	85752604
23576	1	85774168	86054046
3491	1	86036444	86059650
54680	1	86105106	86184116
255631	1	86184916	86632121
57489	1	86802507	86872025
9635	1	86879769	86932241
1179	1	86924526	86975977
22802	1	87002759	87056437
51100	1	87160253	87223867
9403	1	87318128	87390107
9653	1	87370335	87585681
101927844	1	87668352	87727014
8543	1	87784151	87824606
5586	1	89139876	89311938
2959	1	89308321	89367301
56267	1	89391456	89468643
494115	1	89435139	89468643
2635	1	89462360	89498556
2633	1	89507987	89541043
2634	1	89561815	89601842
388646	1	89587434	89651723
115361	1	89636831	89674633
115362	1	89714633	89748544
163351	1	89819436	89863719
23507	1	89979933	90073420
84230	1	90088644	90195094
55144	1	90276573	90411991
284695	1	90450678	90504101
343472	1	91167579	91192794
84146	1	91370855	91497812
164045	1	91716323	91880426
8317	1	91956338	92001321
7049	1	92135900	92381559
676	1	92404928	92489985
253152	1	92485533	92539093
646817	1	92530093	92550968
284697	1	92535862	92623397
23285	1	92622609	92660280
388649	1	92673573	92721367
11146	1	92701955	92774566
79871	1	92754522	92863732
2672	1	92930318	92962433
7813	1	92964253	93267961
6125	1	93287594	93317481
388650	1	93288286	93437079
22823	1	93534792	93614638
50999	1	93605299	93656246
343099	1	93636038	93754769
1810	1	93801478	93838149
54874	1	93903688	94030218
8412	1	94017343	94322706
30836	1	94325014	94355474
2730	1	94342590	94385154
24	1	94448393	94596705
9411	1	94624463	94723251
5825	1	94873933	94994219
2152	1	94984732	95017413
126969	1	95275898	95370803
1266	1	95352507	95402735
199857	1	95438279	95548512
148534	1	95572894	95673163
100527978	1	95573479	95720511
25950	1	95689711	95722781
58155	1	97177161	97290605
1806	1	97533299	98396615
51375	1	99117236	99236056
163404	1	99345801	99480449
9890	1	99719848	99785140
54873	1	100101431	100170097
391059	1	100164206	100242186
178	1	100305633	100399579
23443	1	100425345	100502535
64645	1	100493670	100558933
163786	1	100539100	100608518
54482	1	100588669	100626054
127495	1	100604004	100653829
1629	1	100642478	100725409
8634	1	100721714	100768325
8556	1	100800598	100995833
54112	1	100993728	101017583
7412	1	101175196	101214601
2135	1	101327928	101371548
148867	1	101351632	101562821
51611	1	101445179	101501365
1901	1	101692305	101717076
118427	1	102258126	102472790
1301	1	103332023	103584052
55599	1	104058323	104107861
280	1	104085894	104132156
279	1	104149999	104178400
276	1	104183695	104217174
277	1	104220039	104253519
278	1	104277833	104311312
55170	1	107589267	107611916
22854	1	107672540	108034477
10451	1	108103782	108517545
29957	1	108667344	108752980
148545	1	108755902	108796720
653149	1	108982887	109023639
284611	1	109092653	109191949
113802	1	109180910	109214148
55119	1	109224932	109254425
163479	1	109245556	109295371
6814	1	109279285	109362148
254268	1	109348520	109410864
29899	1	109407972	109483044
23155	1	109462130	109516121
22911	1	109502835	109594860
6884	1	109596998	109628624
56900	1	109623403	109649554
127003	1	109638573	109666484
57535	1	109646585	109759403
6301	1	109746515	109790804
1952	1	109782641	109828378
84722	1	109812176	109835790
343263	1	109824987	109859663
6272	1	109842187	109950563
5686	1	109931653	109979108
284612	1	109999100	110034764
127002	1	110016533	110045426
284613	1	110026658	110053063
57463	1	110039446	110062336
83873	1	110072494	110098487
2773	1	110081186	110148465
2780	1	110135889	110165705
271	1	110152435	110184677
2948	1	110188698	110218123
2946	1	110200644	110236619
2944	1	110220418	110250828
2949	1	110244406	110270890
2947	1	110266554	110293660
79574	1	110282702	110316644
1435	1	110443233	110483616
10768	1	110517387	110576364
85369	1	110564199	110607263
257	1	110592997	110623322
164153	1	110645062	110666569
388662	1	110683132	110754824
3749	1	110743336	110786674
64783	1	110871945	110899303
9122	1	110895473	110943704
10542	1	110933875	110960546
84432	1	110983788	111009976
3744	1	111049839	111071797
3737	1	111126202	111184096
3738	1	111186182	111227655
963	1	111403821	111452558
55791	1	111479812	111516825
128338	1	111649954	111692838
10390	1	111672249	111737724
79961	1	111718591	111757160
1117	1	111760281	111796062
27159	1	111823474	111873188
128344	1	111857285	111905639
5016	1	111946937	111980399
79084	1	111972512	112001915
515	1	111981467	112014540
128346	1	112006474	112031134
140	1	112015970	112116602
5906	1	112152405	112266807
55924	1	112254686	112308419
11218	1	112288190	112320199
3752	1	112308444	112542147
643355	1	112522593	112551464
55917	1	112928800	113013786
7482	1	113000040	113073910
54879	1	113056140	113172040
829	1	113152075	113224241
4343	1	113207048	113253368
389	1	113233749	113260025
333926	1	113242616	113267950
284467	1	113251619	113279857
6566	1	113444469	113508975
9860	1	113605792	113677824
260425	1	113923087	114238545
10745	1	114229824	114312165
54665	1	114294454	114365070
26191	1	114346433	114424375
440603	1	114409436	114440230
10717	1	114427370	114457741
64858	1	114437915	114466708
204851	1	114461819	114530491
56944	1	114512030	114534875
148281	1	114621914	114706472
51592	1	114925399	115063781
10286	1	115100178	115134265
163259	1	115117155	115222732
270	1	115205719	115248239
4893	1	115237085	115269515
7812	1	115249534	115310671
80143	1	115302100	115333308
6847	1	115387455	115547991
7252	1	115562445	115586930
10100	1	115580632	115642121
4803	1	115818537	115890857
81839	1	116174574	116250845
845	1	116232624	116321426
4808	1	116368998	116393747
55356	1	116509119	116622675
126868	1	116644376	116687861
476	1	116904802	116958069
965	1	117047156	117123715
3321	1	117107020	117220377
388667	1	117226734	117259225
914	1	117287057	117321851
5738	1	117442689	117542972
9398	1	117534372	117589173
8458	1	117592910	117655492
80263	1	117643677	117674411
79679	1	117676209	117763582
10905	1	117900085	118078320
54855	1	118138604	118181011
54834	1	118396107	118482302
10885	1	118462372	118513049
200162	1	118486288	118737848
6913	1	119415666	119542179
10352	1	119563839	119693404
51179	1	119901399	119946753
3284	1	119947554	119975662
3283	1	120039826	120067681
90874	1	120152000	120200813
26227	1	120244419	120296849
3158	1	120280619	120321555
83998	1	120326641	120364203
343505	1	120367388	120397503
11085	1	120426156	120449147
4853	1	120444176	120649880
653820	1	120828959	120865681
100996318	1	120914756	120936189
2210	1	120916128	120945944
644591	1	143757144	143777881
728833	1	143886452	143923143
647135	1	143905897	144104426
728841	1	144159149	144234264
653505	1	144353462	144374246
400818	1	144801743	144840407
9659	1	144841424	145086186
388677	1	145166379	145296270
100132406	1	145283371	145378684
148738	1	145403191	145427545
10628	1	145428438	145452635
84265	1	145446236	145486081
284615	1	145460508	145485647
128077	1	145467059	145511670
9939	1	145497557	145523536
8799	1	145506165	145533732
8515	1	145514709	145553868
148741	1	145539209	145578526
10401	1	145565257	145596546
200035	1	145576491	145599435
10623	1	145582605	145620972
